trial_id,short_trial_name,safety_concept,source_pair,five_state_status,generated_comparison_count,grade_A_or_B_count,confirmed_analysis_ready_count,grade_C_count
TRIAL008,SG035-0004,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,grade_3_or_higher_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,serious_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,serious_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,serious_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,fatal_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,2,0,0,2
TRIAL008,SG035-0004,fatal_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,adverse_event_leading_to_discontinuation,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,dose_interruption,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,dose_interruption,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL008,SG035-0004,dose_reduction,publication vs FDA review,unavailable,0,0,0,0
TRIAL008,SG035-0004,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL008,SG035-0004,dose_reduction,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,any_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL009,EMILIA,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,grade_3_or_higher_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL009,EMILIA,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,serious_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,6,0,0,6
TRIAL009,EMILIA,serious_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,fatal_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,6,0,0,6
TRIAL009,EMILIA,fatal_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,adverse_event_leading_to_discontinuation,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL009,EMILIA,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,dose_interruption,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL009,EMILIA,dose_interruption,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL009,EMILIA,dose_reduction,publication vs FDA review,unavailable,0,0,0,0
TRIAL009,EMILIA,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL009,EMILIA,dose_reduction,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,any_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,grade_3_or_higher_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,serious_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,serious_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,serious_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,fatal_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,fatal_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,fatal_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
